PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hosp_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
050254,01-NOV-14,31-OCT-15,As Submitted,2,MARSHALL HOSPITAL,1100 MARSHALL WAY,,PLACERVILLE,CA,95667,EL DORADO
050257,01-JAN-15,31-DEC-15,As Submitted,5,GOOD SAMARITAN HOSPITAL- BAKERSFIELD,901 OLIVE DRIVE,,BAKERSFIELD,CA,93308,KERN
050261,01-JUL-15,30-JUN-16,As Submitted,11,SIERRA VIEW DISTRICT HOSPITAL,465 W. PUTNAM AVE.,,PORTERVILLE,CA,93257-,TULARE
050262,01-JUL-15,30-JUN-16,As Submitted,10,RONALD REAGAN UCLA MEDICAL CENTER,RONALD REAGAN UCLA MEDICAL CENTER,,757 WESTWOOD PLAZA,CA,90095,LOS ANGELES
050272,01-OCT-15,30-SEP-16,As Submitted,8,REDLANDS COMMUNITY HOSPITAL,350 TERRACINA BOULEVARD,,REDLANDS,CA,92373,SAN BERNADINO  CA
050276,01-JUL-15,30-JUN-16,As Submitted,9,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,,MARTINEZ,CA,94553,CONTRA COSTA
050277,01-JUL-13,08-OCT-13,As Submitted,5,PACIFIC HOSPITAL OF LONG BEACH,2776 PACIFIC AVENUE,,LONG BEACH,CA,90801-,LOS ANGELES
050278,01-JAN-15,31-DEC-15,As Submitted,1,PROVIDENCE HOLY CROSS MED. CENTER,15031 RINALDI STREET,,MISSION HILLS,CA,91345-,LOS ANGELES
050279,15-JUL-15,31-MAY-16,As Submitted,11,HI - DESERT MEDICAL CENTER,6601 WHITEFEATHER ROAD,,JOSHUA TREE,CA,92252-,SAN BERNADINO  CA
050280,01-JUL-15,30-JUN-16,As Submitted,4,MERCY MEDICAL CENTER REDDING,2175 ROSALINE AVE,496009,REDDING,CA,96001,SHASTA
050281,01-JUL-15,30-JUN-16,As Submitted,4,ALHAMBRA HOSPITAL,100 SOUTH RAYMOND,,ALHAMBRA,CA,91801,LOS ANGELES
050283,01-JUL-15,31-AUG-16,As Submitted,2,VALLEY MEMORIAL HOSPITAL,1111 EAST STANLEY BLVD,,LIVERMORE,CA,94550-,ALAMEDA
050289,01-JUL-15,30-JUN-16,As Submitted,1,SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,,DALY CITY,CA,94015-,SAN MATEO
050290,01-JAN-15,31-DEC-15,As Submitted,1,SAINT JOHNS HOSPITAL,1328 22ND STREET,,SANTA MONICA,CA,90404,LOS ANGELES
050291,01-JAN-15,31-DEC-15,As Submitted,2,SUTTER SANTA ROSA REGIONAL HOSPITAL,30 MARK WEST SPRING ROAD,,SANTA ROSA,CA,95403,SONOMA
050292,01-JUL-15,30-JUN-16,As Submitted,9,RIVERSIDE UNIVERSITY HEALTH SYSTEM,26520 CACTUS AVENUE,,MORENO VALLEY,CA,92555-3911,RIVERSIDE
050295,01-JUL-15,30-JUN-16,As Submitted,1,MERCY HOSPITAL,2215 TRUXTUN AVENUE,,BAKERSFIELD,CA,93302,KERN
050296,01-JUL-15,30-JUN-16,As Submitted,11,HAZEL HAWKINS MEM. HOSPITAL,911 SUNSET DRIVE,,HOLLISTER,CA,95023-,SAN BENITO  CA
050298,01-FEB-15,31-JAN-16,As Submitted,4,BARSTOW COMMUNITY HOSPITAL,555 SOUTH SEVENTH STREET,,BARSTOW,CA,92311,SAN BERNADINO
050300,01-JUL-15,30-JUN-16,As Submitted,2,ST. MARY MEDICAL CENTER,18300 HIGHWAY 18,P.O. BOX 7025,APPLE VALLEY,CA,92307,SAN BERNARDINO
050301,01-JAN-15,31-DEC-15,As Submitted,1,UKIAH VALLEY MEDICAL CENTER,275 HOSPITAL DRIVE,,UKIAH,CA,95482-,MENDOCINO
050305,01-JAN-15,31-DEC-15,As Submitted,2,ALTA BATES MEDICAL CENTER,2450 ASHBY AVENUE,,BERKELEY,CA,94705-,ALAMEDA
050308,01-JUL-15,30-JUN-16,As Submitted,2,EL CAMINO HOSPITAL,2500 GRANT ROAD,7025,MOUNTAIN VIEW,CA,94039-7025,SANTA CLARA
050309,01-JAN-15,31-DEC-15,As Submitted,2,SUTTER ROSEVILLE MEDICAL CENTER,1 MEDICAL PLAZA,,ROSEVILLE,CA,95661-,PLACER
050313,01-JAN-15,31-DEC-15,As Submitted,2,SUTTER TRACY COMMUNITY HOSPITAL,1420 TRACY BOULEVARD,,TRACY,CA,95376-3497,SAN JOAQUIN
050315,01-JUL-15,30-JUN-16,As Submitted,9,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,,BAKERSFIELD,CA,93306,KERN
050320,01-JUL-15,30-JUN-16,As Submitted,9,ALAMEDA COUNTY MEDICAL CENTER,1411 EAST 31ST STREET,,OAKLAND,CA,94602-,ALAMEDA
050324,01-OCT-15,30-SEP-16,As Submitted,2,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,9888 GENESEE AVENUE,,LA JOLLA,CA,92037,SAN DIEGO
050325,01-JUL-11,23-NOV-11,Settled,9,TUOLOMNE GEN. HOSPITAL,101 HOSPITAL ROAD,,SONORA,CA,95370,
050327,01-JAN-15,31-DEC-15,As Submitted,1,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON STREET,2000,LOMA LINDA,CA,92354,SAN BERNARDINO
050329,01-JAN-15,31-DEC-15,As Submitted,4,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,,CORONA,CA,91720,RIVERSIDE
050334,01-JUL-15,30-JUN-16,As Submitted,11,SALINAS VALLEY MEMORIAL HOSPITAL,450 E. ROMIE LANE,,SALINAS,CA,93901-4098,MONTEREY
050335,01-JAN-15,31-DEC-15,As Submitted,1,SONORA REGIONAL MEDICAL CENTER,1000 GREENLEY ROAD,,SONORA,CA,95370,TUOLUMNE
050336,01-JAN-15,31-DEC-15,As Submitted,2,LODI MEMORIAL HOSPITAL,975 S. FAIRMONT AVENUE,,LODI,CA,92541,SAN JOAQUIN
050342,01-JUL-15,30-JUN-16,As Submitted,11,PIONEERS MEM. HOSPITAL,207 W. LEGION RD.,,BRAWLEY,CA,97222-,IMPERIAL
050348,01-JUL-15,30-JUN-16,As Submitted,10,UCI MEDICAL CENTER,101 THE CITY DRIVE SOUTH,,ORANGE,CA,92868,ORANGE
050349,01-JUL-13,30-SEP-13,Settled,11,CORCORAN DISTRICT HOSPITAL,1310 HANNA AVENUE,,CORCORAN,CA,93212-,KINGS
050350,01-JAN-15,31-DEC-15,As Submitted,8,BEVERLY COMMUNITY HOSPITAL,309 WEST BEVERLY BLVD,,MONTEBELLO,CA,90640,LOS ANGELES
050351,01-JAN-15,31-DEC-15,As Submitted,2,TORRANCE MEM. MEDICAL CENTER,3330 WEST LOMITA BLVD.,,TORRANCE,CA,90505,LOS ANGELES  CA
050352,01-JAN-15,31-DEC-15,As Submitted,2,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,,SOUTH LAKE TAHOE,CA,96158,EL DORADO
050353,01-JAN-15,31-DEC-15,As Submitted,1,PROVIDENCE LTTL CO MARY MC TORRANCE,4101 TORRANCE BLVD,,TORRANCE,CA,90503-,LOS ANGELES
050357,01-JAN-15,31-DEC-15,As Submitted,2,GOLETA VALLEY COTTAGE HOSPITAL,351 SOUTH PATTERSON AVENUE,,SANTA BARBARA,CA,93160-,SANTA BARBARA
050359,01-JUL-15,30-JUN-16,As Submitted,11,TULARE REGIONAL MEDICAL CENTER,869 CHERRY STREET,,TULARE,CA,93274,TULARE
050360,01-JAN-15,31-DEC-15,As Submitted,2,MARIN GENERAL HOSPITAL,250 BON AIR ROAD,,GREENBRAE,CA,94904,MARIN
050367,01-JAN-15,31-DEC-15,As Submitted,2,NORTHBAY HOSPITAL GROUP,1200 B. GALE WILSON BLVD,,FAIRFIELD,CA,94533,SOLANO
050373,01-JUL-15,30-JUN-16,As Submitted,9,LAC+USC MEDICAL CENTER,1200 N. STATE STREET,,LOS ANGELES,CA,90033,LOS ANGELES
050376,01-JUL-15,30-JUN-16,As Submitted,9,HARBOR-UCLA MEDICAL CENTER,1000 WEST CARSON STREET,,TORRANCE,CA,90509,LOS ANGELES
050378,01-JAN-15,31-DEC-15,As Submitted,4,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO ROAD,,SUN VALLEY,CA,91352-1421,LOS ANGELES
050380,01-FEB-15,31-JAN-16,As Submitted,4,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DRIVE,,SAN JOSE,CA,95124,SANTA CLARA
050382,01-JAN-15,31-DEC-15,As Submitted,2,CITRUS VALLEY MEDICAL CENTER,210 WEST SAN BERNARDINO ROAD,,COVINA,CA,91723,LOS ANGELES
050385,01-JUL-13,27-APR-14,Settled,11,PALM DRIVE HOSPITAL,501 PETALUMA AVENUE,,SEBASTOPOL,CA,95472,SONOMA
050390,01-JAN-15,31-DEC-15,As Submitted,4,HEMET VALLEY MEDICAL CENTER,1117 EAST DEVONSHIRE AVENUE,,HEMET,CA,92543,RIVERSIDE
050393,01-OCT-14,30-SEP-15,Amended,2,PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,7010,DOWNEY,CA,90241-7010,LOS ANGELES
050394,01-JAN-15,31-DEC-15,As Submitted,4,CMH OF SAN BUENAVENTURA,147 N. BRENT STREET,,VENTURA,CA,93003,VENTURA
050396,01-JAN-15,31-DEC-15,As Submitted,2,SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO STREET,689,SANTA BARBARA,CA,93102,SANTA BARBARA
050397,01-JUL-15,30-JUN-16,As Submitted,11,COALINGA REGIONAL MEDICAL CENTER,1191 PHELPS AVENUE,,COALINGA,CA,93210-,FRESNO  CA
050407,01-JAN-15,31-DEC-15,As Submitted,2,CHINESE HOSPITAL,845 JACKSON STREET,,SAN FRANCISCO,CA,94133-,SAN FRANCISCO
050411,01-JAN-15,31-DEC-15,As Submitted,2,KFH - SOUTH BAY,25825 S. VERMONT AVENUE,,HARBOR CITY,CA,90710,LOS ANGELES
050414,01-JUL-15,30-JUN-16,As Submitted,1,MERCY HOSPITAL OF FOLSOM,1650 CREEKSIDE DRIVE,,FOLSOM,CA,93630,SACRAMENTO
050417,01-JAN-15,31-DEC-15,As Submitted,2,SUTTER COAST HOSPITAL,800 EAST WASHINGTON,,CRESCENT CITY,CA,95531-3699,DEL NORTE
050423,01-JUL-15,30-JUN-16,As Submitted,11,PALO VERDE HOSPITAL,250 NORTH FIRST STREET DRAWER 2,,BLYTHE,CA,92225-,RIVERSIDE
050424,01-OCT-15,30-SEP-16,As Submitted,2,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,,LA JOLLA,CA,92037,SAN DIEGO
050425,01-JAN-15,31-DEC-15,As Submitted,2,KFH - SACRAMENTO,2025 MORSE AVENUE,,SACRAMENTO,CA,95825-,SACRAMENTO
050426,01-JAN-15,31-DEC-15,As Submitted,4,WEST ANAHEIM MEDICAL CENTER,3033 ORANGE AVENUE,,ANAHEIM,CA,92804,ORANGE
050434,01-APR-15,31-MAR-16,As Submitted,2,COLUSA REGIONAL MEDICAL CENTER,199 EAST WEBSTER,,COLUSA,CA,95932-,COLUSA
050435,01-JUL-14,30-JUN-15,As Submitted,4,FALLBROOK DISTRICT HOSPITAL,624 EAST ELDER STREET,,FALLBROOK,CA,92028-,SAN DIEGO
050438,01-JAN-15,31-DEC-15,Amended,2,HUNTINGTON HOSPITAL,100 WEST CALIFORNIA,,PASADENA,CA,91109,LOS ANGELES
050441,01-SEP-15,31-AUG-16,As Submitted,2,STANFORD HEALTH CARE,300 PASTEUR DRIVE,,STANFORD,CA,94305,SANTA CLARA
050444,01-JUL-15,30-JUN-16,As Submitted,1,MERCY MEDICAL CENTER MERCED,333 MERCY AVENUE,,MERCED,CA,95340,MERCED
050448,01-FEB-12,07-AUG-12,Reopened,2,RIDGECREST REGIONAL HOSPITAL,1081 N. CHINA LAKE RD.,,RIDGECREST,CA,93555-,KERN
050454,01-JUL-15,30-JUN-16,As Submitted,2,UCSF MEDICAL CENTER,505 PARNASSUS,,SAN FRANCISCO,CA,94143-0824,SAN FRANCISCO
050455,01-JAN-15,31-DEC-15,As Submitted,1,SAN JOAQUIN COMMUNITY HOSPITAL,2615 CHESTER AVENUE,P.O. BOX 2615,BAKERSFIELD,CA,93303-2615,KERN
050457,01-JUL-15,30-JUN-16,As Submitted,1,ST. MARYS MEDICAL CENTER,450 STANYAN STREET,,SAN FRANCISCO,CA,94117,SAN FRANCISCO
050464,01-JUN-15,31-MAY-16,As Submitted,4,DOCTORS MEDICAL CENTER OF MODESTO,1441 FLORIDA AVENUE,,MODESTO,CA,95350,STANISLAUS
050468,01-JAN-15,31-DEC-15,As Submitted,4,MEMORIAL HOSPITAL OF GARDENA,1145 W REDONDO BEACH BLVD,,GARDENA,CA,90247-,LOS ANGELES
050471,01-SEP-15,31-AUG-16,As Submitted,2,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,,LOS ANGELES,CA,90017-2395,LOS ANGELES
050481,01-JAN-15,31-DEC-15,As Submitted,4,WEST HILLS HOSPITAL,7300 MEDICAL CENTER DRIVE,,WEST HILLS,CA,91307,LOS ANGELES
050485,01-JUL-15,30-JUN-16,As Submitted,2,LONG BEACH MEMORIAL MEDICAL CENTER,2801 ATLANTIC AVENUE,,LONG BEACH,CA,90806,LOS ANGELES
050488,01-JAN-16,31-MAY-16,As Submitted,4,EDEN MEDICAL CENTER,20103 LAKE CHABOT RD,,CASTRO VALLEY,CA,94546-,ALAMEDA
050492,01-SEP-15,31-AUG-16,As Submitted,2,CLOVIS COMMUNITY MEDICAL HOSPITAL,2755 HERNDON AVENUE,,CLOVIS,CA,93611,FRESNO
050496,01-JAN-15,31-DEC-15,As Submitted,2,JOHN MUIR MEDICAL CENTER - CONCORD,2540 EAST STREET,4110,CONCORD,CA,94520,CONTRA COSTA
050498,01-JAN-15,31-DEC-15,As Submitted,2,SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION ROAD,,AUBURN,CA,95604-,PLACER COUNTY
050502,01-JUL-15,30-JUN-16,As Submitted,2,ST. VINCENT MEDICAL CENTER,2131 WEST 3RD STREET,57992,LOS ANGELES,CA,90057,LOS ANGELES
050503,01-OCT-15,30-SEP-16,As Submitted,2,SCRIPPS MEMORIAL HOSPITAL-ENCINITAS,354 SANTA FE DRIVE,,ENCINITAS,CA,92023,SAN DIEGO
050506,01-JUN-15,31-MAY-16,As Submitted,4,SIERRA VISTA REGIONAL MED CTR,1010 MURRAY AVENUE,,SAN LUIS OBISPO,CA,93405,SAN LUIS OBISPO
050510,01-JAN-15,31-DEC-15,As Submitted,2,KFH - SAN RAFAEL,99 MONTICELLO ROAD,,SAN RAFAEL,CA,94063-,MARIN
050512,01-JAN-15,31-DEC-15,As Submitted,2,KFH - FREMONT,39400 PASEO PADRE PKWY,,FREMONT,CA,94545,ALAMEDA
050515,01-JAN-15,31-DEC-15,As Submitted,2,KFH - SAN DIEGO,4647 ZION AVENUE,,SAN DIEGO,CA,92120,SAN DIEGO
050516,01-JUL-15,30-JUN-16,As Submitted,1,MERCY SAN JUAN MEDICAL CENTER,6501 COYLE AVENUE,,CARMICHAEL,CA,95608,SACRAMENTO
050517,01-JAN-15,31-DEC-15,As Submitted,4,VICTOR VALLEY GLOBAL MEDICAL CENTER,15248 ELEVENTH STREET,,VICTOR VALLEY,CA,92392-,SAN BERNARDINO
050523,01-JAN-15,31-DEC-15,As Submitted,2,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,,ANTIOCH,CA,94509-,CONTRA COSTA
050526,01-JAN-15,31-DEC-15,Amended,4,HUNTINGTON BEACH HOSPITAL,17772 BEACH BLVD,,HUNTINGTON BEACH,CA,92647,ORANGE
050528,01-JAN-15,31-DEC-15,As Submitted,2,MEMORIAL HOSPITAL - LOS BANOS,520 WEST I STREET,,LOS BANOS,CA,93635-,MERCED
050531,01-SEP-12,31-AUG-13,Settled,4,BELLFLOWER MEDICAL CENTER,9542 EAST ARTESIA BLVD.,,BELLFLOWER,CA,90706-,LOS ANGELES
050534,01-JUN-15,31-MAY-16,As Submitted,4,JOHN.F. KENNEDY MEMORIAL HOSP.,47-111 MONROE ST.,,INDIO,CA,92201,RIVERSIDE
050537,01-JAN-15,31-DEC-15,As Submitted,2,SUTTER DAVIS HOSPITAL,2000 SUTTER PLACE,,DAVIS,CA,95617-,YOLO
050541,01-JAN-15,31-DEC-15,As Submitted,2,KFH - REDWOOD CITY,1100 VETERANS BOULEVARD,,REDWOOD CITY,CA,94063,SAN MATEO
050543,01-JAN-15,31-DEC-15,As Submitted,6,COLLEGE HOSPITAL COSTA MESA,301 VICTORIA STREET,,COSTA MESA,CA,92627,ORANGE
050545,01-JUL-14,30-JUN-15,As Submitted,10,LANTERMAN DEVELOPMENTAL CENTER,3530 WEST POMONA BLVD.,,POMONA,CA,91769,LOS ANGELES
050546,01-JUL-15,30-JUN-16,As Submitted,10,PORTERVILLE DEVELOPMENTAL CENTER,26501 AVENUE 140,,PORTERVILLE,CA,93258,TULARE COUNTY
050547,01-JUL-15,30-JUN-16,As Submitted,10,SONOMA DEVELOPMENTAL CENTER,15000 ARNOLD DRIVE,,ELDRIDGE,CA,95431,SONOMA COUNTY
050548,01-JUL-15,30-JUN-16,As Submitted,10,FAIRVIEW DEVELOPMENTAL CENTER,2501 HARBOR BLVD,,COSTA MESA,CA,92626,ORANGE COUNTY
050549,01-JAN-15,31-DEC-15,As Submitted,4,LOS ROBLES HOSPITAL AND MEDICAL CTN.,215 WEST JANSS ROAD,1899,THOUSAND OAKS,CA,91360,VENTURA
050551,01-JUN-15,31-MAY-16,As Submitted,4,LOS ALAMITOS MEDICAL CTR.,3751 KATELLA AVE.,,LOS ALAMITOS,CA,90720,ORANGE
050552,01-JAN-15,31-DEC-15,As Submitted,2,MOTION PICTURE AND TELEVISION FUND,23388 MULHOLLAND DRIVE,,WOODLAND HILLS,CA,91364,LOS ANGELES
050557,01-JAN-15,31-DEC-15,As Submitted,2,MEMORIAL HOSPITAL MODESTO,1700 COFFEE ROAD,,MODESTO,CA,95355-,STANISLAUS
050561,01-JAN-15,31-DEC-15,As Submitted,2,KFH - WEST LOS ANGELES,6041 CADILLAC  AVENUE,,LOS ANGELES,CA,90034-,LOS ANGELES
050567,01-JUL-15,30-JUN-16,As Submitted,2,MISSION HOSPITAL REG MEDICAL CENTER,27700 MEDICAL CENTER ROAD,,MISSION VIEJO,CA,92691,ORANGE
050568,01-JUL-15,30-JUN-16,As Submitted,2,MADERA COMMUNITY HOSPITAL,1250 EAST ALMOND AVENUE,,MADERA,CA,93637,MADERA
050570,01-JAN-15,31-DEC-15,Amended,4,FOUNTAIN VALLEY REG MEDICAL CENTER,17100 EUCLID AT WARNER,,FOUNTAIN VALLEY,CA,92708,ORANGE
050573,01-JUL-15,30-JUN-16,As Submitted,2,EISENHOWER MEDICAL CENTER,39000 BOB HOPE DRIVE,,RANCHO MIRAGE,CA,92270-3221,RIVERSIDE
050575,01-JAN-15,31-DEC-15,As Submitted,2,TRI-CITY REGIONAL MEDICAL CENTER,TRI-CITY REGIONAL MEDICAL CENTER,21530 S. PIONEER BLV,HAWAIIAN GARDENS,CA,90716,LOS ANGELES
050580,01-JAN-15,31-DEC-15,Amended,4,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,,LA PALMA,CA,90623,ORANGE
050581,01-JUN-15,31-MAY-16,As Submitted,4,LAKEWOOD REGIONAL MED. CTR.,3700 E. SOUTH ST.,,LAKEWOOD,CA,90712,LOS ANGELES
050586,01-JAN-15,31-DEC-15,As Submitted,4,CHINO VALLEY MEDICAL CENTER,5451 WALNUT AVENUE,,CHINO,CA,91710,RIVERSIDE
050588,01-JAN-15,31-DEC-15,As Submitted,4,SAN DIMAS COMMUNITY HOSPITAL,1350 WEST COVINA BLVD.,,SAN DIMAS,CA,91773,LOS ANGELES
050589,01-JUN-15,31-MAY-16,As Submitted,4,PLACENTIA LINDA COMMUNITY HOSPITAL,1301 ROSE DR.,,PLACENTIA,CA,92870,ORANGE
050590,01-JUL-15,30-JUN-16,As Submitted,2,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,,SACRAMENTO,CA,95823,SACRAMENTO
050597,01-JAN-15,31-DEC-15,As Submitted,2,FOOTHILL PRESBTYERIAN HOSPITAL,250 SOUTH GRAND AVENUE,,GLENDORA,CA,91740,LOS ANGELES
050599,01-JUL-15,30-JUN-16,As Submitted,10,UC DAVIS MEDICAL CENTER,2315 STOCKTON BLVD,,SACRAMENTO,CA,95817,SACRAMENTO
050603,01-JUL-15,30-JUN-16,As Submitted,2,SADDLEBACK MEMORIAL MEDICAL CENTER,24451 HEALTH CENTER DRIVE,,LAGUNA HILLS,CA,92653,ORANGE
050604,01-JAN-15,31-DEC-15,As Submitted,2,KFH - SAN JOSE,250 HOSPITAL PARKWAY,,SAN JOSE,CA,95119,SANTA CLARA
050608,01-JAN-15,31-DEC-15,As Submitted,2,DELANO REGIONAL MED. CTR.,1401 GARCES HIGHWAY,,DELANO,CA,93215,KERN
050609,01-JAN-15,31-DEC-15,As Submitted,2,KFH - OC-ANAHEIM,3440 E. LA PALMA AVENUE,,ANAHEIM,CA,92806-2020,ORANGE
050616,01-JUL-15,30-JUN-16,As Submitted,1,ST. JOHNS PLEASANT VALLEY HOSPITAL,2309 ANTONIO AVENUE,,CAMARILLO,CA,93010,VENTURA
050618,01-JUL-13,22-MAY-14,Settled,11,BEAR VALLEY COMMUNITY HOSPITAL,41870 GARSTIN DR.,,BIG BEAR,CA,92315-,SAN BERNARDINO
050624,01-OCT-15,30-SEP-16,As Submitted,2,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,23845 MCBEAN PARKWAY,,VALENCIA,CA,91355-,LOS ANGELES
050625,01-JUL-15,30-JUN-16,As Submitted,2,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD.,,LOS ANGELES,CA,90048,LOS ANGELES
050633,01-JUN-15,31-MAY-16,As Submitted,4,TWIN CITIES COMMUNITY HOSPITAL,1100 LAS TABLAS RD,,TEMPLETON,CA,93465,SAN LUIS OBISPO
050636,01-JUL-15,30-JUN-16,As Submitted,11,POMERADO HOSPITAL,15615 POMERADO RD,,POWAY,CA,92064-2405,SAN DIEGO
050641,01-JAN-15,31-DEC-15,As Submitted,4,EAST LOS ANGELES DOCTORS HOSPITAL,4060 EAST WHITTIER BOULEVARD,,LOS ANGELES,CA,90023,LOS ANGELES
050644,01-SEP-12,31-AUG-13,Settled,4,LOS ANGELES METROPOLITAN MEDICAL CTR,2231 S WESTERN AVE,,LOS ANGELES,CA,90018-,LOS ANGELES
050660,01-OCT-14,30-SEP-15,As Submitted,2,USC NORRIS CANCER HOSPITAL,1441 EASTLAKE AVE,,LOS ANGELES,CA,90033-,LOS ANGELES
050663,01-JAN-15,31-DEC-15,Amended,4,LOS ANGELES COMMUNITY HOSPITAL,4081 OLYMPIC BLVD,,LOS ANGELES,CA,90023,LOS ANGELES
050668,01-JUL-15,30-JUN-16,As Submitted,8,LAGUNA HONDA HOSPITAL,375 LAGUNA HONDA BLVD,,SAN FRANCISCO,CA,94116-,SAN FRANCISCO
050674,01-JAN-15,31-DEC-15,As Submitted,2,KFH - SOUTH SACRAMENTO,6600 BRUCEVILLE ROAD,,SACRAMENTO,CA,95823,SACRAMENTO
050677,01-JAN-15,31-DEC-15,As Submitted,2,KFH - WOODLAND HILLS,5601 DE SOTO AVE,,WOODLAND HILLS,CA,91367-,LOS ANGELES
050678,01-JUL-15,30-JUN-16,As Submitted,2,ORANGE COAST MEMORIAL MEDICAL CENTER,9920 TALBERT AVENUE,,FOUNTAIN VALLEY,CA,92708,ORANGE
050684,01-JAN-15,31-DEC-15,As Submitted,4,MENIFEE VALLEY MEDICAL CENTER,28400 MC CALL BLVD,,SUN CITY,CA,92381,RIVERSIDE
050686,01-JAN-15,31-DEC-15,As Submitted,2,KFH - RIVERSIDE,10800 MAGNOLIA AVE,,RIVERSIDE,CA,92505-,RIVERSIDE
050688,01-JUL-15,30-JUN-16,As Submitted,1,ST LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO,,GILROY,CA,95020-,SANTA CLARA
050689,01-JUN-15,31-MAY-16,As Submitted,4,SAN RAMON REG. MEDICAL CENTER,6001 NORRIS CANYON RD,,SAN RAMON,CA,94583,CONTRA COSTA
050690,01-JAN-15,31-DEC-15,As Submitted,2,KFH - SANTA ROSA,401 BICENTENNIAL WAY,,SANTA ROSA,CA,95403-,SONOMA
050696,01-OCT-14,30-SEP-15,As Submitted,2,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,,LOS ANGELES,CA,90033-,LOS ANGELES
050697,01-JAN-15,31-DEC-15,As Submitted,6,PATIENTS HOSPITAL OF REDDING,2900 EUREKA WAY,,REDDING,CA,96001,SHASTA
050698,01-JUL-11,30-JUN-12,Settled,9,SAN DIEGO HOSPICE ACUTE CARE CTR,4311 THIRD AVENUE,,SAN DIEGO,CA,92103,
050701,01-JAN-15,31-DEC-15,As Submitted,4,SOUTHWEST HEALTHCARE SYSTEM,36485 INLAND VALLEY DRIVE,,WILDOMAR,CA,92595-,RIVERSIDE
050704,01-JAN-15,31-DEC-15,As Submitted,4,MISSION COMMUNITY HOSPITAL,14850 ROSCOE BOULEVARD,,PANORAMA CITY,CA,91402,LOS ANGELES
050708,01-JAN-15,31-DEC-15,As Submitted,5,FRESNO SURGICAL HOSPITAL,6125 NORTH FRESNO STREET,,FRESNO,CA,96710,FRESNO
050709,01-JAN-15,31-DEC-15,As Submitted,4,DESERT VALLEY HOSPITAL  INC.,16850 BEAR VALLEY ROAD,,VICTORVILLE,CA,92395,SAN BERNANDINO COUNTY  CA
050710,01-JAN-15,31-DEC-15,As Submitted,2,KFH - FRESNO,7300 NORTH FRESNO,,FRESNO,CA,93720-,FRESNO
050714,01-JAN-16,31-JUL-16,As Submitted,2,SUTTER MATERNITY & SURGERY CENTER,2900 CHANTICLEER AVENUE,,SANTA CRUZ,CA,95065-,SANTA CRUZ
050717,01-JUL-15,30-JUN-16,As Submitted,9,RANCHO LOS AMIGOS NATL.REHAB.CTR.,7601 E. IMPERIAL HIGHWAY,,DOWNEY,CA,90242-3496,LOS ANGELES
050723,01-JAN-15,31-DEC-15,As Submitted,2,KFH - BALDWIN PARK,1011 BALDWIN PARK BLVD,,BALDWIN PARK,CA,91706-,LOS ANGELES
050724,01-JAN-15,31-DEC-15,As Submitted,4,HEART HOSPITAL OF BAKERSFIELD,3001 SILLECT AVENUE,,BAKERSFIELD,CA,93308,KERN
050726,01-JAN-15,31-DEC-15,As Submitted,6,STANISLAUS SURGICAL HOSPITAL,1421 OAKDALE ROAD,,MODESTO,CA,95355,STANISLAUS
050727,01-JUL-15,30-JUN-16,As Submitted,2,COMMUNITY HOSPITAL LONG BEACH,1720 TERMINO AVENUE,,LONG BEACH,CA,90804,LOS ANGELES
050732,01-SEP-14,31-AUG-15,As Submitted,2,FRESNO HEART AND SURGICAL HOSPITAL,15 EAST AUDUBON DRIVE,,FRESNO,CA,93720-1542,FRESNO
050735,01-JUL-15,30-JUN-16,As Submitted,4,WHITTIER HOSPITAL MEDICAL CENTER,15151 JANINE DRIVE,,WHITTIER,CA,90605,LOS ANGELES
050736,01-JUL-15,30-JUN-16,As Submitted,4,MONTEREY PARK HOSPITAL,900 S. ATLANTIC BLVD,,MONTEREY PARK,CA,91754-,LOS ANGELES
050737,01-JUL-15,30-JUN-16,As Submitted,4,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE.,,MONTEREY PARK,CA,91754,LOS ANGELES
